[0001].[12488].[11368].[2021.04.05.01.22.03.538819].SRV1.INF:Main.py.<module>.513:Main Program Started
[0002].[12488].[11368].[2021.04.05.01.22.03.546824].SRV1.INF:Main.py.<module>.515:Command Line iniFileName=default.ini
[0003].[12488].[11368].[2021.04.05.01.22.03.554830].SRV1.INF:Main.py.<module>.516:Command Line VerboseMode=None
[0004].[12488].[11368].[2021.04.05.01.22.03.562835].SRV1.INF:Main.py.<module>.519:AppSpoManager.DebugVerboseModeOn=True
[0005].[12488].[11368].[2021.04.05.01.22.03.570841].SRV1.INF:Main.py.<module>.520:AppSpoManager.AppDebugMan.DebugInfoMessages=True
[0006].[12488].[11368].[2021.04.05.01.22.03.577845].SRV1.INF:Main.py.<module>.521:AppSpoManager.DebugErrorMessages=True
[0007].[12488].[11368].[2021.04.05.01.22.03.585850].SRV1.INF:Main.py.<module>.522:AppSpoManager.DebugTargetConsole=False
[0008].[12488].[11368].[2021.04.05.01.22.03.592854].SRV1.INF:Main.py.<module>.523:AppSpoManager.DebugTargetFile=True
[0009].[12488].[11368].[2021.04.05.01.22.03.599859].SRV1.INF:Main.py.<module>.524:AppSpoManager.DebugTargetFilePath=Debugs\Debug1
[0010].[12488].[11368].[2021.04.05.01.22.03.608865].SRV1.INF:Main.py.<module>.525:AppSpoManager.DebugLinesPerFile=1000
[0011].[12488].[11368].[2021.04.05.01.22.03.616870].SRV1.INF:Main.py.<module>.526:AppSpoManager.AppRunFolder=c:\Apps\PythonTry1
[0012].[12488].[11368].[2021.04.05.01.22.03.623875].SRV1.INF:Main.py.<module>.532:ModuleFileNameOnly=Main.py
[0013].[12488].[11368].[2021.04.05.01.22.03.630880].SRV1.INF:Main.py.<module>.534:File=c:\Apps\PythonTry1\Main.py
[0014].[12488].[11368].[2021.04.05.01.22.03.638885].SRV1.INF:Main.py.<module>.535:FileDirName=c:\Apps\PythonTry1
[0015].[12488].[11368].[2021.04.05.01.22.03.645890].SRV1.INF:Main.py.<module>.536:FileAbsPath=c:\Apps\PythonTry1\Main.py
[0016].[12488].[11368].[2021.04.05.01.22.03.652894].SRV1.INF:Main.py.<module>.537:ModuleName1=__main__
[0017].[12488].[11368].[2021.04.05.01.22.03.660899].SRV1.INF:Main.py.<module>.538:ModuleName2=Main
[0018].[12488].[11368].[2021.04.05.01.22.03.667904].SRV1.INF:Main.py.<module>.540:Main Program Started
[0019].[12488].[11368].[2021.04.05.01.22.03.674909].SRV1.INF:Main.py.<module>.541:Python Executable Path=C:\Program Files\Python39\python.exe
[0020].[12488].[11368].[2021.04.05.01.22.03.681913].SRV1.INF:Main.py.<module>.542:Python Interpreter Version=3.9.2 (tags/v3.9.2:1a79785, Feb 19 2021, 13:44:55) [MSC v.1928 64 bit (AMD64)]
[0021].[12488].[11368].[2021.04.05.01.22.03.688918].SRV1.INF:Main.py.<module>.543:PythonShellProcessPID=11368
[0022].[12488].[11368].[2021.04.05.01.22.03.702927].SRV1.INF:Main.py.<module>.544:PythonShellParentProcessPID=12488
[0023].[12488].[11368].[2021.04.05.01.22.03.709932].SRV1.INF:Main.py.<module>.547:Sys.Path=['c:\\Apps\\PythonTry1', 'C:\\Program Files\\Python39\\python39.zip', 'C:\\Program Files\\Python39\\DLLs', 'C:\\Program Files\\Python39\\lib', 'C:\\Program Files\\Python39', 'C:\\Users\\user2\\AppData\\Roaming\\Python\\Python39\\site-packages', 'C:\\Program Files\\Python39\\lib\\site-packages']
[0024].[12488].[11368].[2021.04.05.01.22.03.738957].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.382:192.168.0.1, KAT1.ODA1, KORÝDOR DUVAR
192.168.0.2, KAT2.ODA2, TAVAN HOPARLÖR
192.168.0.3, KAT3.ODA3, KAPI_ÖNÜ_ANONS
[0025].[12488].[11368].[2021.04.05.01.22.03.751960].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.396:List of All Nodes Read From IniFile------
[0026].[12488].[11368].[2021.04.05.01.22.03.761967].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.398:Node[0] Order=[0] IP=192.168.0.1] Place=]KAT1.ODA1] Desc=[KORÝDOR DUVAR]
[0027].[12488].[11368].[2021.04.05.01.22.03.770972].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.398:Node[1] Order=[1] IP=192.168.0.2] Place=]KAT2.ODA2] Desc=[TAVAN HOPARLÖR]
[0028].[12488].[11368].[2021.04.05.01.22.03.778979].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.398:Node[2] Order=[2] IP=192.168.0.3] Place=]KAT3.ODA3] Desc=[KAPI_ÖNÜ_ANONS]
[0029].[12488].[11368].[2021.04.05.01.22.03.785982].SRV1.INF:Main.py.<module>.581:Creating TestThread1
[0030].[12488].[11368].[2021.04.05.01.22.03.794989].SRV1.INF:Main.py.<module>.583:Created TestThread1
[0031].[12488].[11368].[2021.04.05.01.22.03.801993].SRV1.INF:Main.py.<module>.585:Starting TestThread1
[0032].[12488].[11368].[2021.04.05.01.22.03.810000].SRV1.INF:Main.py.<module>.587:Started TestThread1
[0033].[12488].[11368].[2021.04.05.01.22.03.818004].SRV1.INF:Main.py.<module>.589:Showing MainWindow
[0034].[12488].[11368].[2021.04.05.01.22.03.829011].SRV1.INF:Main.py.on_data_ready.47:Cx=1 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B450>
[0035].[12488].[11368].[2021.04.05.01.22.03.836015].SRV1.INF:Main.py.on_data_ready.47:Cx=2 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B450>
[0036].[12488].[11368].[2021.04.05.01.22.03.845022].SRV1.INF:Main.py.on_data_ready.47:Cx=3 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B450>
[0037].[12488].[11368].[2021.04.05.01.22.03.852026].SRV1.INF:Main.py.on_data_ready.47:Cx=4 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B450>
[0038].[12488].[11368].[2021.04.05.01.22.03.861032].SRV1.INF:Main.py.on_data_ready.47:Cx=5 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0039].[12488].[11368].[2021.04.05.01.22.03.908064].SRV1.INF:Main.py.on_data_ready.47:Cx=6 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0040].[12488].[11368].[2021.04.05.01.22.03.918070].SRV1.INF:Main.py.on_data_ready.47:Cx=7 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0041].[12488].[11368].[2021.04.05.01.22.03.926078].SRV1.INF:Main.py.on_data_ready.47:Cx=8 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B450>
[0042].[12488].[11368].[2021.04.05.01.22.03.935081].SRV1.INF:Main.py.on_data_ready.47:Cx=9 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B450>
[0043].[12488].[11368].[2021.04.05.01.22.03.946089].SRV1.INF:Main.py.on_data_ready.47:Cx=10 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0044].[12488].[11368].[2021.04.05.01.22.03.956095].SRV1.INF:Main.py.on_data_ready.47:Cx=11 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0045].[12488].[11368].[2021.04.05.01.22.03.965101].SRV1.INF:Main.py.on_data_ready.47:Cx=12 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0046].[12488].[11368].[2021.04.05.01.22.03.974108].SRV1.INF:Main.py.on_data_ready.47:Cx=13 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0047].[12488].[11368].[2021.04.05.01.22.03.983113].SRV1.INF:Main.py.on_data_ready.47:Cx=14 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0048].[12488].[11368].[2021.04.05.01.22.03.995122].SRV1.INF:Main.py.on_data_ready.47:Cx=15 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0049].[12488].[11368].[2021.04.05.01.22.04.003127].SRV1.INF:Main.py.on_data_ready.47:Cx=16 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0050].[12488].[11368].[2021.04.05.01.22.04.012133].SRV1.INF:Main.py.on_data_ready.47:Cx=17 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
