[0001].[18768].[20388].[2021.04.05.01.22.31.077631].SRV1.INF:Main.py.<module>.513:Main Program Started
[0002].[18768].[20388].[2021.04.05.01.22.31.088642].SRV1.INF:Main.py.<module>.515:Command Line iniFileName=default.ini
[0003].[18768].[20388].[2021.04.05.01.22.31.099651].SRV1.INF:Main.py.<module>.516:Command Line VerboseMode=None
[0004].[18768].[20388].[2021.04.05.01.22.31.109658].SRV1.INF:Main.py.<module>.519:AppSpoManager.DebugVerboseModeOn=True
[0005].[18768].[20388].[2021.04.05.01.22.31.119665].SRV1.INF:Main.py.<module>.520:AppSpoManager.AppDebugMan.DebugInfoMessages=True
[0006].[18768].[20388].[2021.04.05.01.22.31.130672].SRV1.INF:Main.py.<module>.521:AppSpoManager.DebugErrorMessages=True
[0007].[18768].[20388].[2021.04.05.01.22.31.138677].SRV1.INF:Main.py.<module>.522:AppSpoManager.DebugTargetConsole=False
[0008].[18768].[20388].[2021.04.05.01.22.31.145682].SRV1.INF:Main.py.<module>.523:AppSpoManager.DebugTargetFile=True
[0009].[18768].[20388].[2021.04.05.01.22.31.153688].SRV1.INF:Main.py.<module>.524:AppSpoManager.DebugTargetFilePath=Debugs\Debug1
[0010].[18768].[20388].[2021.04.05.01.22.31.160692].SRV1.INF:Main.py.<module>.525:AppSpoManager.DebugLinesPerFile=1000
[0011].[18768].[20388].[2021.04.05.01.22.31.167696].SRV1.INF:Main.py.<module>.526:AppSpoManager.AppRunFolder=c:\Apps\PythonTry1
[0012].[18768].[20388].[2021.04.05.01.22.31.175703].SRV1.INF:Main.py.<module>.532:ModuleFileNameOnly=Main.py
[0013].[18768].[20388].[2021.04.05.01.22.31.182707].SRV1.INF:Main.py.<module>.534:File=c:\Apps\PythonTry1\Main.py
[0014].[18768].[20388].[2021.04.05.01.22.31.189711].SRV1.INF:Main.py.<module>.535:FileDirName=c:\Apps\PythonTry1
[0015].[18768].[20388].[2021.04.05.01.22.31.197717].SRV1.INF:Main.py.<module>.536:FileAbsPath=c:\Apps\PythonTry1\Main.py
[0016].[18768].[20388].[2021.04.05.01.22.31.204722].SRV1.INF:Main.py.<module>.537:ModuleName1=__main__
[0017].[18768].[20388].[2021.04.05.01.22.31.214727].SRV1.INF:Main.py.<module>.538:ModuleName2=Main
[0018].[18768].[20388].[2021.04.05.01.22.31.225735].SRV1.INF:Main.py.<module>.540:Main Program Started
[0019].[18768].[20388].[2021.04.05.01.22.31.232739].SRV1.INF:Main.py.<module>.541:Python Executable Path=C:\Program Files\Python39\python.exe
[0020].[18768].[20388].[2021.04.05.01.22.31.239744].SRV1.INF:Main.py.<module>.542:Python Interpreter Version=3.9.2 (tags/v3.9.2:1a79785, Feb 19 2021, 13:44:55) [MSC v.1928 64 bit (AMD64)]
[0021].[18768].[20388].[2021.04.05.01.22.31.249751].SRV1.INF:Main.py.<module>.543:PythonShellProcessPID=20388
[0022].[18768].[20388].[2021.04.05.01.22.31.270764].SRV1.INF:Main.py.<module>.544:PythonShellParentProcessPID=18768
[0023].[18768].[20388].[2021.04.05.01.22.31.281773].SRV1.INF:Main.py.<module>.547:Sys.Path=['c:\\Apps\\PythonTry1', 'C:\\Program Files\\Python39\\python39.zip', 'C:\\Program Files\\Python39\\DLLs', 'C:\\Program Files\\Python39\\lib', 'C:\\Program Files\\Python39', 'C:\\Users\\user2\\AppData\\Roaming\\Python\\Python39\\site-packages', 'C:\\Program Files\\Python39\\lib\\site-packages']
[0024].[18768].[20388].[2021.04.05.01.22.31.323803].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.382:192.168.0.1, KAT1.ODA1, KORÝDOR DUVAR
192.168.0.2, KAT2.ODA2, TAVAN HOPARLÖR
192.168.0.3, KAT3.ODA3, KAPI_ÖNÜ_ANONS
[0025].[18768].[20388].[2021.04.05.01.22.31.336809].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.396:List of All Nodes Read From IniFile------
[0026].[18768].[20388].[2021.04.05.01.22.31.346815].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.398:Node[0] Order=[0] IP=192.168.0.1] Place=]KAT1.ODA1] Desc=[KORÝDOR DUVAR]
[0027].[18768].[20388].[2021.04.05.01.22.31.354821].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.398:Node[1] Order=[1] IP=192.168.0.2] Place=]KAT2.ODA2] Desc=[TAVAN HOPARLÖR]
[0028].[18768].[20388].[2021.04.05.01.22.31.366829].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.398:Node[2] Order=[2] IP=192.168.0.3] Place=]KAT3.ODA3] Desc=[KAPI_ÖNÜ_ANONS]
[0029].[18768].[20388].[2021.04.05.01.22.31.374838].SRV1.INF:Main.py.<module>.581:Creating TestThread1
[0030].[18768].[20388].[2021.04.05.01.22.31.383841].SRV1.INF:Main.py.<module>.583:Created TestThread1
[0031].[18768].[20388].[2021.04.05.01.22.31.391847].SRV1.INF:Main.py.<module>.585:Starting TestThread1
[0032].[18768].[20388].[2021.04.05.01.22.31.399851].SRV1.INF:Main.py.<module>.587:Started TestThread1
[0033].[18768].[20388].[2021.04.05.01.22.31.407860].SRV1.INF:Main.py.<module>.589:Showing MainWindow
[0034].[18768].[20388].[2021.04.05.01.22.31.419864].SRV1.INF:Main.py.on_data_ready.47:Cx=1 Deðer1 from <sip.voidptr object at 0x0000007224E0B420>
[0035].[18768].[20388].[2021.04.05.01.22.31.430870].SRV1.INF:Main.py.on_data_ready.47:Cx=2 Deðer1 from <sip.voidptr object at 0x0000007224E0B420>
[0036].[18768].[20388].[2021.04.05.01.22.31.438876].SRV1.INF:Main.py.on_data_ready.47:Cx=3 Deðer1 from <sip.voidptr object at 0x0000007224E0B420>
[0037].[18768].[20388].[2021.04.05.01.22.31.448883].SRV1.INF:Main.py.on_data_ready.47:Cx=4 Deðer1 from <sip.voidptr object at 0x0000007224E0B420>
[0038].[18768].[20388].[2021.04.05.01.22.31.458891].SRV1.INF:Main.py.on_data_ready.47:Cx=5 Deðer1 from <sip.voidptr object at 0x0000007224E0B480>
[0039].[18768].[20388].[2021.04.05.01.22.31.512926].SRV1.INF:Main.py.on_data_ready.47:Cx=6 Deðer1 from <sip.voidptr object at 0x0000007224E0B480>
[0040].[18768].[20388].[2021.04.05.01.22.31.522932].SRV1.INF:Main.py.on_data_ready.47:Cx=7 Deðer1 from <sip.voidptr object at 0x0000007224E0B480>
[0041].[18768].[20388].[2021.04.05.01.22.31.536940].SRV1.INF:Main.py.on_data_ready.47:Cx=8 Deðer1 from <sip.voidptr object at 0x0000007224E0B480>
[0042].[18768].[20388].[2021.04.05.01.22.31.549950].SRV1.INF:Main.py.on_data_ready.47:Cx=9 Deðer1 from <sip.voidptr object at 0x0000007224E0B480>
[0043].[18768].[20388].[2021.04.05.01.22.31.557958].SRV1.INF:Main.py.on_data_ready.47:Cx=10 Deðer1 from <sip.voidptr object at 0x0000007224E0B480>
[0044].[18768].[20388].[2021.04.05.01.22.31.565961].SRV1.INF:Main.py.on_data_ready.47:Cx=11 Deðer1 from <sip.voidptr object at 0x0000007224E0B480>
[0045].[18768].[20388].[2021.04.05.01.22.31.574967].SRV1.INF:Main.py.on_data_ready.47:Cx=12 Deðer1 from <sip.voidptr object at 0x0000007224E0B480>
[0046].[18768].[20388].[2021.04.05.01.22.31.582973].SRV1.INF:Main.py.on_data_ready.47:Cx=13 Deðer1 from <sip.voidptr object at 0x0000007224E0B480>
[0047].[18768].[20388].[2021.04.05.01.22.31.592980].SRV1.INF:Main.py.on_data_ready.47:Cx=14 Deðer1 from <sip.voidptr object at 0x0000007224E0B480>
[0048].[18768].[20388].[2021.04.05.01.22.31.601986].SRV1.INF:Main.py.on_data_ready.47:Cx=15 Deðer1 from <sip.voidptr object at 0x0000007224E0B480>
