[0001].[16136].[9304].[2021.04.05.01.54.59.901813].SRV1.INF:Main.py.<module>.516:Main Program Started
[0002].[16136].[9304].[2021.04.05.01.54.59.909819].SRV1.INF:Main.py.<module>.518:Command Line iniFileName=default.ini
[0003].[16136].[9304].[2021.04.05.01.54.59.916824].SRV1.INF:Main.py.<module>.519:Command Line VerboseMode=None
[0004].[16136].[9304].[2021.04.05.01.54.59.923829].SRV1.INF:Main.py.<module>.522:AppSpoManager.DebugVerboseModeOn=True
[0005].[16136].[9304].[2021.04.05.01.54.59.930833].SRV1.INF:Main.py.<module>.523:AppSpoManager.AppDebugMan.DebugInfoMessages=True
[0006].[16136].[9304].[2021.04.05.01.54.59.938840].SRV1.INF:Main.py.<module>.524:AppSpoManager.DebugErrorMessages=True
[0007].[16136].[9304].[2021.04.05.01.54.59.945845].SRV1.INF:Main.py.<module>.525:AppSpoManager.DebugTargetConsole=False
[0008].[16136].[9304].[2021.04.05.01.54.59.952850].SRV1.INF:Main.py.<module>.526:AppSpoManager.DebugTargetFile=True
[0009].[16136].[9304].[2021.04.05.01.54.59.959853].SRV1.INF:Main.py.<module>.527:AppSpoManager.DebugTargetFilePath=Debugs\Debug1
[0010].[16136].[9304].[2021.04.05.01.54.59.967859].SRV1.INF:Main.py.<module>.528:AppSpoManager.DebugLinesPerFile=1000
[0011].[16136].[9304].[2021.04.05.01.54.59.974863].SRV1.INF:Main.py.<module>.529:AppSpoManager.AppRunFolder=c:\Apps\PythonTry1
[0012].[16136].[9304].[2021.04.05.01.54.59.982373].SRV1.INF:Main.py.<module>.535:ModuleFileNameOnly=Main.py
[0013].[16136].[9304].[2021.04.05.01.54.59.992378].SRV1.INF:Main.py.<module>.537:File=c:\Apps\PythonTry1\Main.py
[0014].[16136].[9304].[2021.04.05.01.55.00.000386].SRV1.INF:Main.py.<module>.538:FileDirName=c:\Apps\PythonTry1
[0015].[16136].[9304].[2021.04.05.01.55.00.008392].SRV1.INF:Main.py.<module>.539:FileAbsPath=c:\Apps\PythonTry1\Main.py
[0016].[16136].[9304].[2021.04.05.01.55.00.015396].SRV1.INF:Main.py.<module>.540:ModuleName1=__main__
[0017].[16136].[9304].[2021.04.05.01.55.00.022401].SRV1.INF:Main.py.<module>.541:ModuleName2=Main
[0018].[16136].[9304].[2021.04.05.01.55.00.029405].SRV1.INF:Main.py.<module>.543:Main Program Started
[0019].[16136].[9304].[2021.04.05.01.55.00.036410].SRV1.INF:Main.py.<module>.544:Python Executable Path=C:\Program Files\Python39\python.exe
[0020].[16136].[9304].[2021.04.05.01.55.00.043415].SRV1.INF:Main.py.<module>.545:Python Interpreter Version=3.9.2 (tags/v3.9.2:1a79785, Feb 19 2021, 13:44:55) [MSC v.1928 64 bit (AMD64)]
[0021].[16136].[9304].[2021.04.05.01.55.00.050419].SRV1.INF:Main.py.<module>.546:PythonShellProcessPID=9304
[0022].[16136].[9304].[2021.04.05.01.55.00.064430].SRV1.INF:Main.py.<module>.547:PythonShellParentProcessPID=16136
[0023].[16136].[9304].[2021.04.05.01.55.00.071434].SRV1.INF:Main.py.<module>.550:Sys.Path=['c:\\Apps\\PythonTry1', 'C:\\Program Files\\Python39\\python39.zip', 'C:\\Program Files\\Python39\\DLLs', 'C:\\Program Files\\Python39\\lib', 'C:\\Program Files\\Python39', 'C:\\Users\\user2\\AppData\\Roaming\\Python\\Python39\\site-packages', 'C:\\Program Files\\Python39\\lib\\site-packages']
[0024].[16136].[9304].[2021.04.05.01.55.00.103455].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.385:192.168.0.1, KAT1.ODA1, KORÝDOR DUVAR
192.168.0.2, KAT2.ODA2, TAVAN HOPARLÖR
192.168.0.3, KAT3.ODA3, KAPI_ÖNÜ_ANONS
[0025].[16136].[9304].[2021.04.05.01.55.00.112463].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.399:List of All Nodes Read From IniFile------
[0026].[16136].[9304].[2021.04.05.01.55.00.124470].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.401:Node[0] Order=[0] IP=192.168.0.1] Place=]KAT1.ODA1] Desc=[KORÝDOR DUVAR]
[0027].[16136].[9304].[2021.04.05.01.55.00.134475].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.401:Node[1] Order=[1] IP=192.168.0.2] Place=]KAT2.ODA2] Desc=[TAVAN HOPARLÖR]
[0028].[16136].[9304].[2021.04.05.01.55.00.142481].SRV1.INF:Main.py.AddClientNodes2GridFromSettings.401:Node[2] Order=[2] IP=192.168.0.3] Place=]KAT3.ODA3] Desc=[KAPI_ÖNÜ_ANONS]
[0029].[16136].[9304].[2021.04.05.01.55.00.150486].SRV1.INF:Main.py.<module>.587:Creating TestThread1
[0030].[16136].[9304].[2021.04.05.01.55.00.158492].SRV1.INF:Main.py.<module>.589:Created TestThread1
[0031].[16136].[9304].[2021.04.05.01.55.00.165499].SRV1.INF:Main.py.<module>.591:Starting TestThread1
[0032].[16136].[9304].[2021.04.05.01.55.00.173502].SRV1.INF:Main.py.<module>.593:Started TestThread1
[0033].[16136].[9304].[2021.04.05.01.55.00.181508].SRV1.INF:Main.py.<module>.595:Showing MainWindow
[0034].[16136].[9304].[2021.04.05.01.55.00.251554].SRV1.INF:Main.py.on_data_ready.50:Cx=1 Deðer1 from ThreadName=TH1 ThreadID=11236
[0035].[16136].[9304].[2021.04.05.01.55.00.259560].SRV1.INF:Main.py.on_data_ready.50:Cx=1 Deðer1 from ThreadName=TH2 ThreadID=11836
[0036].[16136].[9304].[2021.04.05.01.55.00.351621].SRV1.INF:Main.py.on_data_ready.50:Cx=2 Deðer1 from ThreadName=TH1 ThreadID=11236
[0037].[16136].[9304].[2021.04.05.01.55.00.359626].SRV1.INF:Main.py.on_data_ready.50:Cx=2 Deðer1 from ThreadName=TH2 ThreadID=11836
[0038].[16136].[9304].[2021.04.05.01.55.00.452688].SRV1.INF:Main.py.on_data_ready.50:Cx=3 Deðer1 from ThreadName=TH1 ThreadID=11236
[0039].[16136].[9304].[2021.04.05.01.55.00.461692].SRV1.INF:Main.py.on_data_ready.50:Cx=3 Deðer1 from ThreadName=TH2 ThreadID=11836
[0040].[16136].[9304].[2021.04.05.01.55.00.553755].SRV1.INF:Main.py.on_data_ready.50:Cx=4 Deðer1 from ThreadName=TH1 ThreadID=11236
[0041].[16136].[9304].[2021.04.05.01.55.00.561760].SRV1.INF:Main.py.on_data_ready.50:Cx=4 Deðer1 from ThreadName=TH2 ThreadID=11836
[0042].[16136].[9304].[2021.04.05.01.55.00.654820].SRV1.INF:Main.py.on_data_ready.50:Cx=5 Deðer1 from ThreadName=TH1 ThreadID=11236
[0043].[16136].[9304].[2021.04.05.01.55.00.663826].SRV1.INF:Main.py.on_data_ready.50:Cx=5 Deðer1 from ThreadName=TH2 ThreadID=11836
[0044].[16136].[9304].[2021.04.05.01.55.00.754886].SRV1.INF:Main.py.on_data_ready.50:Cx=6 Deðer1 from ThreadName=TH1 ThreadID=11236
[0045].[16136].[9304].[2021.04.05.01.55.00.763892].SRV1.INF:Main.py.on_data_ready.50:Cx=6 Deðer1 from ThreadName=TH2 ThreadID=11836
[0046].[16136].[9304].[2021.04.05.01.55.00.854954].SRV1.INF:Main.py.on_data_ready.50:Cx=7 Deðer1 from ThreadName=TH1 ThreadID=11236
[0047].[16136].[9304].[2021.04.05.01.55.00.862959].SRV1.INF:Main.py.on_data_ready.50:Cx=7 Deðer1 from ThreadName=TH2 ThreadID=11836
[0048].[16136].[9304].[2021.04.05.01.55.00.956026].SRV1.INF:Main.py.on_data_ready.50:Cx=8 Deðer1 from ThreadName=TH1 ThreadID=11236
[0049].[16136].[9304].[2021.04.05.01.55.00.964031].SRV1.INF:Main.py.on_data_ready.50:Cx=8 Deðer1 from ThreadName=TH2 ThreadID=11836
[0050].[16136].[9304].[2021.04.05.01.55.01.056099].SRV1.INF:Main.py.on_data_ready.50:Cx=9 Deðer1 from ThreadName=TH1 ThreadID=11236
[0051].[16136].[9304].[2021.04.05.01.55.01.065106].SRV1.INF:Main.py.on_data_ready.50:Cx=9 Deðer1 from ThreadName=TH2 ThreadID=11836
[0052].[16136].[9304].[2021.04.05.01.55.01.156165].SRV1.INF:Main.py.on_data_ready.50:Cx=10 Deðer1 from ThreadName=TH1 ThreadID=11236
[0053].[16136].[9304].[2021.04.05.01.55.01.165171].SRV1.INF:Main.py.on_data_ready.50:Cx=10 Deðer1 from ThreadName=TH2 ThreadID=11836
[0054].[16136].[9304].[2021.04.05.01.55.01.257232].SRV1.INF:Main.py.on_data_ready.50:Cx=11 Deðer1 from ThreadName=TH1 ThreadID=11236
[0055].[16136].[9304].[2021.04.05.01.55.01.267239].SRV1.INF:Main.py.on_data_ready.50:Cx=11 Deðer1 from ThreadName=TH2 ThreadID=11836
[0056].[16136].[9304].[2021.04.05.01.55.01.357298].SRV1.INF:Main.py.on_data_ready.50:Cx=12 Deðer1 from ThreadName=TH1 ThreadID=11236
[0057].[16136].[9304].[2021.04.05.01.55.01.367305].SRV1.INF:Main.py.on_data_ready.50:Cx=12 Deðer1 from ThreadName=TH2 ThreadID=11836
[0058].[16136].[9304].[2021.04.05.01.55.01.458365].SRV1.INF:Main.py.on_data_ready.50:Cx=13 Deðer1 from ThreadName=TH1 ThreadID=11236
